video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=l1WTKibrl_E&pp=ygUEZ2F6YQ%3D%3D,/@France24_en,FRANCE 24 English,"Israel pounds south as Palestinians say Gaza death toll passes 25,000 • FRANCE 24 English",461,8 hours,"Israeli planes resumed heavy bombing on Khan Younis in the south of the Gaza Strip over the weekend, as Palestinian health ...",2024-01-22 18:52:12.676584
/watch?v=DvsyFZkIXck&pp=ygUEZ2F6YQ%3D%3D,/@trtworld,TRT World,US children protest for Gaza in front of the White House,43K,2 months,Dozens of US children demonstrate with their parents in front of the White House to demand a ceasefire in Israel's war on Gaza.,2024-01-22 18:52:12.681362
/watch?v=qpvQc1RXlow&pp=ygUEZ2F6YQ%3D%3D,/@NBCNews,NBC News,Video shows damaged cemetery after Israeli forces search for hostages in Gaza,39K,3 days,Israel's military indicated to NBC News that its forces damaged a Khan Younis cemetery in the search for hostages that may have ...,2024-01-22 18:52:12.684161
/shorts/c5tWYj_Y60w,/@CNN,CNN,Gaza towers collapse after explosion,3.7M,3 months,"Two towers in Gaza City, which host media offices and residential apartments, collapsed after they were hit by an airstrike.",2024-01-22 18:52:12.687088
/shorts/XyhghJq6wGg,/@aljazeeraenglish,Al Jazeera English,Palestinian brothers from Gaza thank paramedics for their rescue,8M,2 months,"""Thank you paramedics, we love you very very much!"" These Palestinian brothers express their heartfelt thanks to the paramedics ...",2024-01-22 18:52:12.689915
/watch?v=5qDpFmWhSHI&pp=ygUEZ2F6YQ%3D%3D,/@livenowfox,LiveNOW from FOX,Israel-Hamas war: Iran tensions escalate after Syria strike amid fighting in Gaza | LiveNOW from FOX,221K,1 day,A fifth Iranian military adviser has been killed following an Israeli airstrike in Syria. National security analyst and retired Marine ...,2024-01-22 18:52:12.692577
/watch?v=mXbnghe5W9g&pp=ygUEZ2F6YQ%3D%3D,/@DemocracyNow,Democracy Now!,"British Doctor on Witnessing Israel's Destruction of Gaza Hospitals, Horrific Injuries to Children",85K,3 days,"Support our work: https://democracynow.org/give Before Israel's unprecedented assault on Gaza, the territory had 36 functioning ...",2024-01-22 18:52:12.695334
/watch?v=lv1SpwwJEW8&pp=ygUEZ2F6YQ%3D%3D,/@Vox,Vox,"Gaza, explained",3M,2 months,Why Palestinians in Gaza have suffered for decades. Subscribe to our channel and turn on notifications (  ) so you don't miss any ...,2024-01-22 18:52:12.698082
/shorts/3lFF7917bPM,/@ajplus,AJ+,"This is what’s left of #Gaza’s churches, mosques, schools and libraries",1.3M,1 month,gaza #israel #palestine Subscribe for more videos: https://ajplus.co/subscribe Follow us on Instagram: ...,2024-01-22 18:52:12.700997
/watch?v=t2v07-KtZUU&pp=ygUEZ2F6YQ%3D%3D,/@WKYCChannel3,WKYC Channel 3,"Palestinian death toll in Gaza surpasses 25,000",129,8 hours,"(AP) The Palestinian death toll from the war between Israel and Hamas has soared past 25000, the Health Ministry in the Gaza ...",2024-01-22 18:52:12.704197
